Produce (veg & fruit),Dairy and Eggs,Bakery,Dry goods & grains,Legumes & pulses (dry),Oils & fats,Spices – whole,"Spices, masalas & seasonings (ground)",Condiments & sauces,"Nuts, baking & sweets",Frozen,Canned & jarred
Anaheim peppers,Bread loaves (white),Deep tandoori naan,Almond flour,Black masoor daal,Corn oil,Bay leaves,Amchur powder (dry mango powder),Ching’s soy sauce,Blanched almonds,"Bhatura, Deep (family pack of 20)","Black beans, canned"
Baby spinach,Burger buns,Dinner rolls,Angel hair noodles,Black-eyed peas (chawla),Desi ghee,Black cardamom (moti elaichi),Biriyani masala,Chings red hot sauce,Cashews,"Cluster beans (guwar or guvaar), pre-cut (frozen)","Coconut milk, canned"
"Basil leaves, fresh",Butter,"Naan, Stonefire (Costco)",Angel hair pasta,Chana dal,Extra virgin olive oil (for salad dressing),Black pepper (whole),Black pepper powder,Garlic salt (Costco),Dry mango slices,Frozen carrots,"Corn, cream-style (big cans)"
Bell peppers – red & yellow (or mixed colors),Cream cheese,Pav buns (for pav bhaji),Besan (gram flour),Chickpeas (white kabuli chana),Oil,Black rai,Chapli kebab masala (Shan),Hot chili sauce,Jaggery,Frozen guvaar,"Corn, sweet kernels, canned"
Bottle gourd (doodhi),Cream cheese blocks (Philadelphia),Taco shells or tortillas,Corn starch,Green moong daal (whole),Vegetable oil (cooking oil),"Cardamom, green",Cinnamon Powder,Kikkoman soy sauce,Milk powder,"Tindora, pre-cut (frozen)","Cranberry sauce, jellied (cans)"
Broccoli,Eggs,,Corn starch,Green whole moong (mung beans),,Cinnamon sticks,Coriander powder,Lemon juice,"Peanuts, roasted (skinless)",,Milkmaid (sweetened condensed milk)
Cabbage,Half & half,,Dalia (cracked wheat),Masoor dal (orange/pink),,Cloves,Cumin powder,Maggi chicken cubes (halal),Sliced almonds,,"Pineapple, crushed (canned)"
Capsicum (green),Heavy whipping cream,,Elbow macaroni,"Masoor dal, whole black (sabut)",,Coriander seeds,Dried mixed herbs,Mayonnaise,Sugar,,"Red beans, canned"
"Carrots, fresh whole",Shredded cheese,,Idaho mashed potato powder (instant),Moong daal (yellow),,Cumin seeds,Garam masala,Red chili garlic sauce,Walnuts,,"Salsa, mild (Pace)"
"Carrots, shredded",Sour cream,,Pelted wheat (Sadaf),Pink masoor daal,,Dried mango slices (amchur),Garlic powder,Rose water,,,Sliced black olives (canned)
Cauliflower,Whole milk,,Penne pasta,Rajma (kidney beans),,Dry red chillies,Ginger powder,Soya sauce,,,"Water chestnuts, canned"
Celery stalks,Yogurt ,,Rice,Toor daal (split),,Fennel seeds (saunf),Kashmiri chili powder (mild),Thai red curry paste,,,
Cilantro,,,Rice flour,Toor dal (largest size),,Fenugreek seeds,Lemon pepper seasoning,Tomato ketchup,,,
"Cluster beans (guwar), fresh",,,Royal Chef Extra Long Basmati Rice,Urad dal,,"Kashmiri chilies, whole dried",Onion powder,Tomato purée,,,
Coleslaw mix (shredded cabbage),,,Royal Chef extra-long basmati rice,Yellow moong dal,,Kokum (dried),Paprika powder (mild),Vinegar,,,
"Corn, fresh (ears)",,,Sharbati atta (Sujata or Aashirvaad),,,Methi,Pav bhaji masala,,,,
"Cucumbers, Persian ×60 (or large ×25)",,,White flour (all-purpose),,,Mustard seeds,Red chili flakes,,,,
Curry leaves,,,,,,"Red chilies, whole dried",Red chili powder,,,,
"Eggplant, Indian (baingan)",,,,,,Round red mircha,Salt,,,,
Fresh ginger (peeled),,,,,,Saffron,Taco seasoning,,,,
Fresh Lemons (Yellow Lemon),,,,,,Sesame seeds,Tandoori masala (Shan),,,,
Ginger (Whole),,,,,,Shah jeera,Turmeric powder,,,,
Green beans - fresh,,,,,,Star anise,White pepper powder,,,,
Green chilies (Thai + regular),,,,,,Whole black pepper,,,,,
Green onions (scallions),,,,,,,,,,,
Green Thai chilli,,,,,,,,,,,
Jalapeño,,,,,,,,,,,
"Lettuce, shredded",,,,,,,,,,,
Loki (bottle gourd),,,,,,,,,,,
Mint leaves,,,,,,,,,,,
Parsley,,,,,,,,,,,
Peeled garlic,,,,,,,,,,,
Potatoes,,,,,,,,,,,
Red Onions,,,,,,,,,,,
Roma tomatoes,,,,,,,,,,,
Yellow onions,,,,,,,,,,,
Zucchini,,,,,,,,,,,
