Product Name,Category
Bell peppers (red & yellow),Produce (veg & fruit)
Broccoli (fresh cut),Produce (veg & fruit)
Carrots (fresh),Produce (veg & fruit)
Carrots (shredded),Produce (veg & fruit)
Cucumbers (Persian),Produce (veg & fruit)
Green chilies,Produce (veg & fruit)
Lemons (fresh),Produce (veg & fruit)
Onions (red),Produce (veg & fruit)
Onions (yellow),Produce (veg & fruit)
Potatoes,Produce (veg & fruit)
Roma tomatoes,Produce (veg & fruit)
Tomatoes,Produce (veg & fruit)
Anaheim peppers,Produce (veg & fruit)
Baby spinach,Produce (veg & fruit)
Cabbage,Produce (veg & fruit)
Cauliflower,Produce (veg & fruit)
Celery stalks,Produce (veg & fruit)
Corn (fresh ears),Produce (veg & fruit)
Green beans (fresh),Produce (veg & fruit)
Green onions (scallions),Produce (veg & fruit)
Lettuce (shredded),Produce (veg & fruit)
Bottle gourd (doodhi),Produce (veg & fruit)
Cluster beans (guwar fresh),Produce (veg & fruit)
Coleslaw mix,Produce (veg & fruit)
Eggplant (Indian baingan),Produce (veg & fruit)
Basil leaves (fresh),Produce (veg & fruit)
Cilantro,Produce (veg & fruit)
Curry leaves,Produce (veg & fruit)
Garlic (fresh peeled),Produce (veg & fruit)
Ginger (fresh),Produce (veg & fruit)
Mint leaves,Produce (veg & fruit)
Parsley,Produce (veg & fruit)
Butter,Dairy and Eggs
Half & half,Dairy and Eggs
Heavy whipping cream,Dairy and Eggs
Whole milk,Dairy and Eggs
Yogurt,Dairy and Eggs
Cream cheese,Dairy and Eggs
Shredded cheese,Dairy and Eggs
Sour cream,Dairy and Eggs
Eggs,Dairy and Eggs
Dinner rolls,Bakery
Naan (Stonefire),Bakery
Pav buns (for pav bhaji),Bakery
Taco shells,Bakery
Tortillas,Bakery
Bread loaves (white),Bakery
Burger buns,Bakery
Besan (gram flour),Dry goods & grains
Elbow macaroni,Dry goods & grains
Idaho mashed potato powder,Dry goods & grains
Royal Chef Basmati Rice,Dry goods & grains
White flour (all-purpose),Dry goods & grains
Pelted wheat (Sadaf),Dry goods & grains
Rice flour,Dry goods & grains
Sharbati atta,Dry goods & grains
Almond flour,Dry goods & grains
Angel hair pasta,Dry goods & grains
Corn starch,Dry goods & grains
Dalia (cracked wheat),Dry goods & grains
Penne pasta,Dry goods & grains
Black-eyed peas (chawla),Legumes & pulses (dry)
Green whole moong,Legumes & pulses (dry)
Chickpeas (white kabuli chana),Legumes & pulses (dry)
Masoor dal (orange/pink),Legumes & pulses (dry)
Toor dal,Legumes & pulses (dry)
Urad dal,Legumes & pulses (dry)
Yellow moong dal,Legumes & pulses (dry)
Chana dal,Legumes & pulses (dry)
Masoor dal (whole black),Legumes & pulses (dry)
Rajma (kidney beans),Legumes & pulses (dry)
Desi ghee,Oils & fats
Extra virgin olive oil,Oils & fats
Vegetable oil,Oils & fats
Corn oil,Oils & fats
Bay leaves,Spices (whole)
Black cardamom (moti elaichi),Spices (whole)
